commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;isEqualBreakingChange;isEqualDeprecated;isEqualJavaDoc
a4c7b0f08d49a396eeb06a17ec3632ebd3079524;Gain Visibility in Type;Type;<br>type <code>com.orhanobut.logger.Printer</code><br>changed visibility from <code>default</code>to <code>public</code><br>;;com.orhanobut.logger.Printer;;com.orhanobut.logger.Printer;default;public;false;false;false;;a4c7b0f08d49a396eeb06a17ec3632ebd3079524;Gain Visibility in Type;Type;<br> type <code>com.orhanobut.logger.Printer</code><br> changed visibility from <code>default</code> to <code>public</code><br>;;;com.orhanobut.logger.Printer;com.orhanobut.logger.Printer;default;public;false;false;false;;true;true;true
bc0516be6c049bd2949653ddd5fb77b6c440c468;Rename Type;Type;<br>type <code>com.orhanobut.logger.AndroidLogStrategy</code><br>renamed to<br><code>com.orhanobut.logger.LogcatLogStrategy</code><br>;;com.orhanobut.logger.AndroidLogStrategy;;com.orhanobut.logger.LogcatLogStrategy;;;true;false;false;;bc0516be6c049bd2949653ddd5fb77b6c440c468;Rename Type;Type;type <code>com.orhanobut.logger.AndroidLogStrategy</code><br>renamed to<br><code>com.orhanobut.logger.LogcatLogStrategy</code><br>;com.orhanobut.logger.AndroidLogStrategy;com.orhanobut.logger.AndroidLogStrategy;com.orhanobut.logger.LogcatLogStrategy;com.orhanobut.logger.LogcatLogStrategy;;;true;false;false;;true;true;true
bc0516be6c049bd2949653ddd5fb77b6c440c468;Rename Type;Type;<br>type <code>com.orhanobut.logger.AbstractAndroidFileLogger</code><br>renamed to<br><code>com.orhanobut.logger.DiskLogStrategy</code><br>;;com.orhanobut.logger.AbstractAndroidFileLogger;;com.orhanobut.logger.DiskLogStrategy;;;true;false;true;;bc0516be6c049bd2949653ddd5fb77b6c440c468;Rename Type;Type;type <code>com.orhanobut.logger.AbstractAndroidFileLogger</code><br>renamed to<br><code>com.orhanobut.logger.DiskLogStrategy</code><br>;com.orhanobut.logger.AbstractAndroidFileLogger;com.orhanobut.logger.AbstractAndroidFileLogger;com.orhanobut.logger.DiskLogStrategy;com.orhanobut.logger.DiskLogStrategy;;;true;false;true;;true;true;true
bc0516be6c049bd2949653ddd5fb77b6c440c468;Remove Type;Type;<br>type <code>com.orhanobut.logger.AndroidCsvFileLogger</code><br>was removed<br>;;com.orhanobut.logger.AndroidCsvFileLogger;;;;;true;false;true;;bc0516be6c049bd2949653ddd5fb77b6c440c468;Remove Type;Type;<br>type <code>com.orhanobut.logger.AndroidCsvFileLogger</code> <br>was removed<br>;com.orhanobut.logger.AndroidCsvFileLogger;com.orhanobut.logger.AndroidCsvFileLogger;;;;;true;false;true;;true;true;true
bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Type;Type;<br>type <code>com.orhanobut.logger.DiskLogAdapter</code> added<br>;;;;com.orhanobut.logger.DiskLogAdapter;;;false;false;false;;bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Type;Type;<br>Type <code>com.orhanobut.logger.DiskLogAdapter</code> added<br>;;;com.orhanobut.logger.DiskLogAdapter;com.orhanobut.logger.DiskLogAdapter;;;false;false;false;;true;true;true
bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Type;Type;<br>type <code>com.orhanobut.logger.CsvFormatStrategy.Builder</code> added<br>;;;;com.orhanobut.logger.CsvFormatStrategy.Builder;;;false;false;false;;bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Type;Type;<br>Type <code>com.orhanobut.logger.CsvFormatStrategy.Builder</code> added<br>;;;com.orhanobut.logger.CsvFormatStrategy.Builder;com.orhanobut.logger.CsvFormatStrategy.Builder;;;false;false;false;;true;true;true
91df22c93189a43bada2c9944d7f0514cbf2cf3d;Remove Type;Type;<br>type <code>com.orhanobut.logger.LogLevel</code><br>was removed<br>;;com.orhanobut.logger.LogLevel;;;;;true;false;false;;91df22c93189a43bada2c9944d7f0514cbf2cf3d;Remove Type;Type;<br>type <code>com.orhanobut.logger.LogLevel</code> <br>was removed<br>;com.orhanobut.logger.LogLevel;com.orhanobut.logger.LogLevel;;;;;true;false;false;;true;true;true
90f2f54fb19fce983796394dd6b59b69967f18db;Remove Type;Type;<br>type <code>com.orhanobut.logger.Settings</code><br>was removed<br>;;com.orhanobut.logger.Settings;;;;;true;false;false;;90f2f54fb19fce983796394dd6b59b69967f18db;Remove Type;Type;<br>type <code>com.orhanobut.logger.Settings</code> <br>was removed<br>;com.orhanobut.logger.Settings;com.orhanobut.logger.Settings;;;;;true;false;false;;true;true;true
90f2f54fb19fce983796394dd6b59b69967f18db;Remove Type;Type;<br>type <code>com.orhanobut.logger.FileLogger</code><br>was removed<br>;;com.orhanobut.logger.FileLogger;;;;;true;false;false;;90f2f54fb19fce983796394dd6b59b69967f18db;Remove Type;Type;<br>type <code>com.orhanobut.logger.FileLogger</code> <br>was removed<br>;com.orhanobut.logger.FileLogger;com.orhanobut.logger.FileLogger;;;;;true;false;false;;true;true;true
90f2f54fb19fce983796394dd6b59b69967f18db;Add Type;Type;<br>type <code>com.orhanobut.logger.CsvFormatStrategy</code> added<br>;;;;com.orhanobut.logger.CsvFormatStrategy;;;false;false;false;;90f2f54fb19fce983796394dd6b59b69967f18db;Add Type;Type;<br>Type <code>com.orhanobut.logger.CsvFormatStrategy</code> added<br>;;;com.orhanobut.logger.CsvFormatStrategy;com.orhanobut.logger.CsvFormatStrategy;;;false;false;false;;true;true;true
84c6056c8cea1498b35ee9942074436f78bfbc26;Gain Visibility in Type;Type;<br>type <code>com.orhanobut.logger.AndroidLogAdapter</code><br>changed visibility from <code>default</code>to <code>public</code><br>;;com.orhanobut.logger.AndroidLogAdapter;;com.orhanobut.logger.AndroidLogAdapter;default;public;false;false;false;;84c6056c8cea1498b35ee9942074436f78bfbc26;Gain Visibility in Type;Type;<br> type <code>com.orhanobut.logger.AndroidLogAdapter</code><br> changed visibility from <code>default</code> to <code>public</code><br>;;;com.orhanobut.logger.AndroidLogAdapter;com.orhanobut.logger.AndroidLogAdapter;default;public;false;false;false;;true;true;true
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>type <code>com.orhanobut.logger.LogStrategy</code> added<br>;;;;com.orhanobut.logger.LogStrategy;;;false;false;false;;84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.LogStrategy</code> added<br>;;;com.orhanobut.logger.LogStrategy;com.orhanobut.logger.LogStrategy;;;false;false;false;;true;true;true
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>type <code>com.orhanobut.logger.PrettyFormatStrategy.Builder</code> added<br>;;;;com.orhanobut.logger.PrettyFormatStrategy.Builder;;;false;false;false;;84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.PrettyFormatStrategy.Builder</code> added<br>;;;com.orhanobut.logger.PrettyFormatStrategy.Builder;com.orhanobut.logger.PrettyFormatStrategy.Builder;;;false;false;false;;true;true;true
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>type <code>com.orhanobut.logger.FormatStrategy</code> added<br>;;;;com.orhanobut.logger.FormatStrategy;;;false;false;false;;84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.FormatStrategy</code> added<br>;;;com.orhanobut.logger.FormatStrategy;com.orhanobut.logger.FormatStrategy;;;false;false;false;;true;true;true
32f1653cf86062b188619be32286c5d5a95b4075;Lost Visibility in Type;Type;<br>type <code>com.orhanobut.logger.Printer</code><br>changed visibility from <code>public</code>to <code>default</code><br>;;com.orhanobut.logger.Printer;;com.orhanobut.logger.Printer;public;default;true;false;false;;32f1653cf86062b188619be32286c5d5a95b4075;Lost Visibility in Type;Type;<br> type <code>com.orhanobut.logger.Printer</code><br> changed visibility from <code>public</code> to <code>default</code><br>;;;com.orhanobut.logger.Printer;com.orhanobut.logger.Printer;public;default;true;false;false;;true;true;true
a5fc14128abab13b02448146b87cde6366c08437;Add Type;Type;<br>type <code>com.orhanobut.logger.AndroidCsvFileLogger</code> added<br>;;;;com.orhanobut.logger.AndroidCsvFileLogger;;;false;false;true;;a5fc14128abab13b02448146b87cde6366c08437;Add Type;Type;<br>Type <code>com.orhanobut.logger.AndroidCsvFileLogger</code> added<br>;;;com.orhanobut.logger.AndroidCsvFileLogger;com.orhanobut.logger.AndroidCsvFileLogger;;;false;false;true;;true;true;true
a5fc14128abab13b02448146b87cde6366c08437;Add Type;Type;<br>type <code>com.orhanobut.logger.FileLogger</code> added<br>;;;;com.orhanobut.logger.FileLogger;;;false;false;false;;a5fc14128abab13b02448146b87cde6366c08437;Add Type;Type;<br>Type <code>com.orhanobut.logger.FileLogger</code> added<br>;;;com.orhanobut.logger.FileLogger;com.orhanobut.logger.FileLogger;;;false;false;false;;true;true;true
a5fc14128abab13b02448146b87cde6366c08437;Add Type;Type;<br>type <code>com.orhanobut.logger.AbstractAndroidFileLogger</code> added<br>;;;;com.orhanobut.logger.AbstractAndroidFileLogger;;;false;false;true;;a5fc14128abab13b02448146b87cde6366c08437;Add Type;Type;<br>Type <code>com.orhanobut.logger.AbstractAndroidFileLogger</code> added<br>;;;com.orhanobut.logger.AbstractAndroidFileLogger;com.orhanobut.logger.AbstractAndroidFileLogger;;;false;false;true;;true;true;true
26228b17f923893cd27cad91266d9a443e11a3fe;Rename Type;Type;<br>type <code>com.orhanobut.logger.LogTool</code><br>renamed to<br><code>com.orhanobut.logger.LogAdapter</code><br>;;com.orhanobut.logger.LogTool;;com.orhanobut.logger.LogAdapter;;;true;false;false;;26228b17f923893cd27cad91266d9a443e11a3fe;Rename Type;Type;type <code>com.orhanobut.logger.LogTool</code><br>renamed to<br><code>com.orhanobut.logger.LogAdapter</code><br>;com.orhanobut.logger.LogTool;com.orhanobut.logger.LogTool;com.orhanobut.logger.LogAdapter;com.orhanobut.logger.LogAdapter;;;true;false;false;;true;true;true
