commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
21f327cc70d010af01d57ddb2ff209bef7f05033;Rename Type;Type;type <code>retrofit.mock.Behavior</code><br>renamed to<br><code>retrofit.mock.NetworkBehavior</code><br>;Behavior;retrofit.mock.Behavior;true;false;false
d1ca096e03fbc57665cfad652cfff90966c29272;Rename Type;Type;type <code>retrofit.ObservableCallAdapterFactory</code><br>renamed to<br><code>retrofit.RxJavaCallAdapterFactory</code><br>;ObservableCallAdapterFactory;retrofit.ObservableCallAdapterFactory;true;false;true
d1ca096e03fbc57665cfad652cfff90966c29272;Rename Type;Type;type <code>retrofit.mock.ObservableBehaviorAdapter</code><br>renamed to<br><code>retrofit.mock.SingleHelper</code><br>;ObservableBehaviorAdapter;retrofit.mock.ObservableBehaviorAdapter;true;false;false
d1ca096e03fbc57665cfad652cfff90966c29272;Add Type;Type;<br>Type <code>retrofit.mock.RxJavaBehaviorAdapter</code> added<br>;RxJavaBehaviorAdapter;retrofit.mock.RxJavaBehaviorAdapter;false;false;false
34a8faa318c92e779c57eb23f6f77ad4d2608fa5;Change in Supertype;Type;<br><code>retrofit.HttpException</code><br>changed the superClass<br>from <code>retrofit.IOException</code><br>to <code>retrofit.Exception</code><br>;HttpException;retrofit.HttpException;false;false;true
3c14e0bf33f8a3be3bcd153c668fa42730e88f61;Add Type;Type;<br>Type <code>retrofit.HttpException</code> added<br>;HttpException;retrofit.HttpException;false;false;true
7e499539232eb68ac70a48bc6f720d62eb836c27;Remove Type;Type;<br>type <code>retrofit.MockRetrofit</code> <br>was removed<br>;MockRetrofit;retrofit.MockRetrofit;true;false;true
7e499539232eb68ac70a48bc6f720d62eb836c27;Add Type;Type;<br>Type <code>retrofit.mock.Calls</code> added<br>;Calls;retrofit.mock.Calls;false;false;true
7e499539232eb68ac70a48bc6f720d62eb836c27;Add Type;Type;<br>Type <code>retrofit.mock.BehaviorAdapter</code> added<br>;BehaviorAdapter;retrofit.mock.BehaviorAdapter;false;false;false
7e499539232eb68ac70a48bc6f720d62eb836c27;Add Type;Type;<br>Type <code>retrofit.mock.CallBehaviorAdapter</code> added<br>;CallBehaviorAdapter;retrofit.mock.CallBehaviorAdapter;false;false;false
7e499539232eb68ac70a48bc6f720d62eb836c27;Add Type;Type;<br>Type <code>retrofit.mock.MockRetrofit</code> added<br>;MockRetrofit;retrofit.mock.MockRetrofit;false;false;false
7e499539232eb68ac70a48bc6f720d62eb836c27;Add Type;Type;<br>Type <code>retrofit.mock.Behavior</code> added<br>;Behavior;retrofit.mock.Behavior;false;false;false
7e499539232eb68ac70a48bc6f720d62eb836c27;Add Type;Type;<br>Type <code>retrofit.mock.ObservableBehaviorAdapter</code> added<br>;ObservableBehaviorAdapter;retrofit.mock.ObservableBehaviorAdapter;false;false;false
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2;Remove Type;Type;<br>type <code>retrofit.MockHttpException</code> <br>was removed<br>;MockHttpException;retrofit.MockHttpException;true;false;true
b549160942450e235fe0bc4fdd56eff182acc542;Add Final Modifier in Type;Type;type <code>retrofit.Retrofit.Builder</code><br>received the modifier <code>final</code><br>;Builder;retrofit.Retrofit.Builder;true;false;true
904bf94b7c4cad1bea96fb9e8481ee307e208f65;Rename Type;Type;type <code>retrofit.Endpoint</code><br>renamed to<br><code>retrofit.BaseUrl</code><br>;Endpoint;retrofit.Endpoint;true;false;true
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Add Type;Type;<br>Type <code>retrofit.GsonConverterFactory</code> added<br>;GsonConverterFactory;retrofit.GsonConverterFactory;false;false;true
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Add Type;Type;<br>Type <code>retrofit.WireConverterFactory</code> added<br>;WireConverterFactory;retrofit.WireConverterFactory;false;false;true
