commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.Request</code><br>was removed<br>;;okhttp3.Request;;;;;true;false;true
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.Request.Builder</code><br>was removed<br>;;okhttp3.Request.Builder;;;;;true;false;false
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.Response.Builder</code><br>was removed<br>;;okhttp3.Response.Builder;;;;;true;false;false
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.Response</code><br>was removed<br>;;okhttp3.Response;;;;;true;false;true
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.ResponseBody</code><br>was removed<br>;;okhttp3.ResponseBody;;;;;true;false;true
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.RequestBody</code><br>was removed<br>;;okhttp3.RequestBody;;;;;true;false;false
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.HttpLoggingInterceptor</code><br>was removed<br>;;okhttp3.logging.HttpLoggingInterceptor;;;;;true;false;true
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.HttpLoggingInterceptor.Level</code><br>was removed<br>;;okhttp3.logging.HttpLoggingInterceptor.Level;;;;;true;false;false
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.HttpLoggingInterceptor.Logger</code><br>was removed<br>;;okhttp3.logging.HttpLoggingInterceptor.Logger;;;;;true;false;false
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.LoggingEventListener</code><br>was removed<br>;;okhttp3.logging.LoggingEventListener;;;;;true;false;true
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.LoggingEventListener.Factory</code><br>was removed<br>;;okhttp3.logging.LoggingEventListener.Factory;;;;;true;false;false
482adb2578f9f0718ee6781b89cfdab4022ef712;Remove Type;Type;<br>type <code>okhttp3.OkHttpClient</code><br>was removed<br>;;okhttp3.OkHttpClient;;;;;true;false;true
482adb2578f9f0718ee6781b89cfdab4022ef712;Remove Type;Type;<br>type <code>okhttp3.OkHttpClient.Builder</code><br>was removed<br>;;okhttp3.OkHttpClient.Builder;;;;;true;false;false
